[ 2025-07-14 00:01:10,528 ] 21 root - INFO - Initiate the Data Ingestion Process
[ 2025-07-14 00:01:11,431 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-14 00:01:11,431 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-14 00:01:11,431 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-14 00:01:11,455 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-14 00:01:11,455 ] 23 root - INFO - Data Ingestion Completed
[ 2025-07-14 00:01:11,473 ] 29 root - INFO - Initiate Data Validation
[ 2025-07-14 00:01:11,481 ] 32 root - INFO - Required number of columns:2
[ 2025-07-14 00:01:11,481 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-14 00:01:11,481 ] 32 root - INFO - Required number of columns:2
[ 2025-07-14 00:01:11,481 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-14 00:01:11,537 ] 31 root - INFO - Data Validation Completed
[ 2025-07-14 00:01:11,537 ] 37 root - INFO - initialize Data Transformation
[ 2025-07-14 00:01:11,537 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-14 00:01:11,537 ] 65 root - INFO - Starting data transformation
[ 2025-07-14 00:01:11,544 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-14 00:01:11,544 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-14 00:01:11,548 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-14 00:01:11,548 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-14 00:01:11,548 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-14 00:01:11,549 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-14 00:01:11,549 ] 39 root - INFO - Data Transformation Completed
